citation_key,title,year,primary_category,alignment_context,behavior_measured,prompt_format,evaluation_format,metric_type,role_in_review
gao2023scaling,Scaling laws for reward model overoptimization,2023,Reward overoptimization,Reward modeling,Reward seeking / overoptimization,Optimization setting,Reward-model analysis,Reward score / overoptimization curve,Reward hacking mechanism
coste2023reward,Reward model ensembles help mitigate overoptimization,2023,Reward overoptimization,Reward modeling,Reward overoptimization,Optimization setting,Reward-model analysis,Reward score / overoptimization curve,Overoptimization mitigation
dubois2024alphapref,AlpacaFarm: A simulation framework for methods that learn from human feedback,2023,Evaluation framework,Preference evaluation,Preference optimization,Instruction-following prompt,Simulated preference evaluation,Win rate / preference score,Preference evaluation framework
rafailov2024scaling,Scaling laws for reward model overoptimization in direct alignment algorithms,2024,Reward overoptimization,Direct alignment,Reward seeking / overoptimization,Optimization setting,Reward-model analysis,Reward score / overoptimization curve,Direct alignment overoptimization evidence
skalse2022defining,Defining and characterizing reward gaming,2022,Reward gaming,Reward theory,Proxy-objective failure,Not prompt-based,Theoretical analysis,Reward gaming definition,Reward gaming concept
pan2022effects,The effects of reward misspecification: Mapping and mitigating misaligned models,2022,Reward gaming,Reward misspecification,Proxy-objective failure,Optimization setting,Theoretical / empirical analysis,Reward misspecification evidence,Reward misspecification background
zheng2023secrets,Secrets of RLHF in large language models Part I: PPO,2023,Preference alignment,RLHF / PPO,Reward optimization,Instruction-following prompt,Training analysis,Reward / PPO metrics,RLHF optimization background
singhal2023towards,INFORM: Mitigating reward hacking in RLHF via information-theoretic reward modeling,2024,Reward hacking,Reward modeling,Reward hacking mitigation,Optimization setting,Reward-model analysis,Reward score / mitigation metric,Reward hacking mitigation
casper2023explore,Explore establish exploit: Red teaming language models from scratch,2023,Red teaming,Adversarial evaluation,Failure discovery,Red-teaming prompt,Red-teaming / adversarial prompting,Qualitative case analysis,Red-team evaluation evidence
munos2023nash,Nash learning from human feedback,2024,Preference alignment,Human feedback / game-theoretic alignment,Preference optimization,Preference-pair prompt,Preference evaluation,Preference / game-theoretic score,Alternative alignment method
bhatt2023understanding,Mitigating the alignment tax of RLHF,2024,Preference alignment,RLHF,Alignment tax,Instruction-following prompt,Benchmark / preference evaluation,Performance / alignment score,Alignment tax evidence
liang2022holistic,Holistic evaluation of language models,2022,Evaluation framework,Benchmark-only,General evaluation,Benchmark scenario,Multi-scenario benchmark evaluation,Accuracy / robustness metrics,Evaluation framework
zheng2023judging,Judging LLM-as-a-judge with MT-Bench and Chatbot Arena,2023,Judge-model evaluation,LLM-as-a-judge,Evaluation bias,Pairwise response comparison,LLM-as-a-judge evaluation,Judge preference score,Judge limitation evidence
lin2022truthfulqa,TruthfulQA: Measuring how models mimic human falsehoods,2022,Truthfulness benchmark,Benchmark-only,Falsehood imitation,Benchmark scenario,Multiple-choice / free-form evaluation,Truthfulness score,Truthfulness benchmark evidence
wang2023far,How far can camels go? Exploring the state of instruction tuning on open resources,2023,Evaluation framework,Instruction tuning,Instruction-following behavior,Instruction-following prompt,Benchmark evaluation,Accuracy / benchmark score,Instruction-tuning evaluation context
chiang2023vicuna,Vicuna: An open-source chatbot impressing GPT-4 with 90 percent ChatGPT quality,2023,Evaluation framework,Chatbot evaluation,Assistant response quality,Free-form conversation,LLM-as-a-judge evaluation,Judge preference score,Chatbot evaluation context
dubois2023alpacafarm,AlpacaFarm: A simulation framework for methods that learn from human feedback,2023,Evaluation framework,Preference evaluation,Preference optimization,Instruction-following prompt,Simulated preference evaluation,Win rate / preference score,Preference evaluation framework
taori2023alpaca,Alpaca: A strong replicable instruction-following model,2023,Evaluation framework,Instruction tuning,Instruction-following behavior,Instruction-following prompt,Benchmark / qualitative evaluation,Qualitative case analysis,Instruction-following background
